Start Time,End Time,Facility Code,Participant Code,Status,Reason,Outage (MW),Recovery Time (Minutes),Description,
11/25/2016 19:00,11/26/2016 7:30,PJRH_GT11,PJRH,Approved,Forced,123,,FO,
11/29/2016 8:30,11/29/2016 10:30,BW1_GREENWATERS_G2,GW,Approved,Forced,21,,Water leak Ph2 Fu1. For further information contact Simcoa Furnace Control on 9780 6670,
11/22/2016 10:00,11/22/2016 10:00,AURICON_PNJ_U1,AURICON,Cancelled By Market Participant,Forced,17.411,0,Due to issues with the high fogging system,
12/2/2016 6:00,12/2/2016 21:00,BW1_GREENWATERS_G2,GW,Cancelled By Market Participant,Scheduled (Planned),156,1,Unit testing,
12/1/2016 6:00,12/1/2016 7:30,BW1_GREENWATERS_G2,GW,Cancelled By Market Participant,Opportunistic Maintenance (Planned),156,1,Unit testing,
12/1/2016 8:00,12/1/2016 20:30,BW1_GREENWATERS_G2,GW,Cancelled By Market Participant,Scheduled (Planned),156,1,Unit testing,
12/1/2016 8:00,2/1/2017 7:30,ENRG_KALGOORLIE_GT3,ENRG,Approved,Forced,117.4,,Unit unavailable for dispatch,
12/1/2016 8:00,2/1/2017 7:30,ENRG_KALGOORLIE_GT3,ENRG,Cancelled By Market Participant,Scheduled (Planned),117.4,39,Unit unavailable for dispatch,
11/26/2016 13:00,11/26/2016 13:00,AUXC_WGP,AUXC,Approved,Forced,8.53,,Refinery steam / power imbalance,
11/26/2016 12:30,11/26/2016 12:30,AUXC_WGP,AUXC,Approved,Forced,9.97,,Refinery power / steam imbalance,
11/26/2016 12:00,11/26/2016 12:00,AUXC_WGP,AUXC,Approved,Forced,10.48,,Refinery power / steam imbalance,
11/15/2016 7:30,11/15/2016 7:30,AURICON_PNJ_U1,AURICON,Approved,Forced,6.54,0,Limited output due to ambient conditions (High temperature),
11/15/2016 1:00,11/15/2016 1:00,AURICON_PNJ_U1,AURICON,Approved,Forced,5.639,0,Limited output due to ambient conditions (High temperature),
11/15/2016 0:30,11/15/2016 0:30,AURICON_PNJ_U1,AURICON,Approved,Forced,4.687,0,Limited output due to ambient conditions (High temperature),
11/15/2016 0:00,11/15/2016 0:00,AURICON_PNJ_U1,AURICON,Approved,Forced,4.018,0,Limited output due to ambient conditions (High temperature),
11/14/2016 23:30,11/14/2016 23:30,AURICON_PNJ_U1,AURICON,Approved,Forced,4.728,0,Limited output due to ambient conditions (High temperature),
11/14/2016 23:00,11/14/2016 23:00,AURICON_PNJ_U1,AURICON,Approved,Forced,4.055,0,Limited output due to ambient conditions (High temperature),
11/14/2016 22:30,11/14/2016 22:30,AURICON_PNJ_U1,AURICON,Approved,Forced,4.116,0,Limited output due to ambient conditions (High temperature),
11/14/2016 22:00,11/14/2016 22:00,AURICON_PNJ_U1,AURICON,Approved,Forced,4.18,0,Limited output due to ambient conditions (High temperature),
11/14/2016 21:30,11/14/2016 21:30,AURICON_PNJ_U1,AURICON,Approved,Forced,4.217,0,Limited output due to ambient conditions (High temperature),
11/14/2016 20:30,11/14/2016 20:30,AURICON_PNJ_U1,AURICON,Approved,Forced,4.043,0,Limited output due to ambient conditions (High temperature),
